"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-01-19","70",,"64"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-02-16","74",,"61"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-02-20","70",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-03-19","78",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-04-05","72",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-04-06","77",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-05-19","75","88",
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-05-24","73",,"68"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-05-28","79",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-05-31","80",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-06-02","78",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-06-29","81",,"70"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-01","82",,"75"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-02","79","86","73"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-04","82",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-05","81",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-06","82",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-11","84",,"77"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-13","80",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-21","86",,"77"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-22","83",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-30","82",,"70"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-07-31","92",,"75"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-02","82",,"75"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-05","82",,"73"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-08","78",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-11","81",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-15","83",,"73"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-16","81",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-17","82",,"70"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-19","82",,"73"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-20","80",,"75"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-26","83",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-29","81",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-08-30","84",,"77"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-06","77","88",
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-07","81",,"54"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-08","80",,"73"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-15","84",,"72"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-17","82",,"68"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-18","84",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-19","84",,"73"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-26","72",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-09-27","84",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-10-11","82",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-10-16","83",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-10-17","82",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-10-18","81",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-10-19","86",,"73"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-10-23","80",,"70"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1980-11-15","75",,"66"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-01-28","68",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-03-29","73",,"66"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-05-09","77","93",
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-05-10","76","84","70"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-05-11","74","88","70"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-05-12","83",,
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-05-13","76","91",
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-05-14","77","91",
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-05-15","79","97","72"
"GAM00061701","BANJUL INTERNATIONAL, GA","13.338","-16.652","29.0","1981-05-16","79",,"72"
