"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-02","72","77","70"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-20","73",,"66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-21","71","77",
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-22","69",,"64"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-23","72",,"66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-24","72","79",
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-27","72","79","66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-28","76","84","66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-29","71","77","64"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-07-30","74",,"64"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-07","70","75",
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-08","73","79",
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-10","72","81","66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-12","70",,
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-13","74",,
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-16","70",,"68"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-19","73",,"66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-25","75",,
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-26","72","82",
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-28","73","81",
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-29","72",,"68"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-08-30","77","82",
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-09-15","75","82","66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-09-16","75",,"68"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-09-23","72",,"64"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-09-29","72",,"64"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-09-30","75",,"66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1980-10-02","78",,
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-02-01","82","90",
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-02-02","74",,"59"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-02-13","74",,"66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-02-26","82","93","64"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-03-01","81",,"70"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-06-29","73",,
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-07-07","72",,"68"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-07-10","72",,"66"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-07-11","73","79","68"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-07-12","74",,"61"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-07-15","69",,"63"
"GV000001820","MAMOU, GV","10.37","-12.08","782.0","1981-07-17","73","82","68"
