"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-02","81","91",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-03","78","91","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-04","78","88",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-05","77",,"68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-06","75",,"68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-07","76","88","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-08","73","79",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-09","74","82",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-10","76","91",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-11","82","95",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-12","78","95","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-13","79","91",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-14","77","90",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-15","74","86","64"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-16","75","82","63"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-17","77","91","66"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-18","77",,"66"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-19","78","91","66"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-20","78",,"68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-21","76","95","64"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-22","80",,"70"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-23","76",,"64"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-24","82",,
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-25","79","95",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-27","77",,
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-28","77","91","63"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-29","81","95","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-30","78","97",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-01-31","81",,
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-01","81","97","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-02","83","97",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-04","80","91","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-05","76","79",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-06","69","72","64"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-07","71","79","63"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-08","78","90","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-09","80","95","66"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-10","80","95",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-12","79",,
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-13","76",,
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-14","79","93","72"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-15","84","93",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-16","78",,"70"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-17","82","100","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-18","77","100","64"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-19","78","93","64"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-20","81","91","68"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-21","81","93","70"
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-22","83","91",
"PUM00061766","BISSAU OSWALDO VIEIRA INTERNATIONAL, PU","11.895","-15.654","39.3","1980-02-23","74",,"68"
