"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-01-29","81","93","73"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-01-30","83",,"73"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-02-08","87",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-06-01","79",,"73"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-09-02","77",,"66"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-09-06","74",,"73"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-09-08","77","86","72"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-09-14","79",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-09-30","81",,"73"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-10-11","78",,"54"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-10-16","76",,"73"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-10-20","84",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-11-08","80",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-11-11","74","90","70"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-11-13","76",,"70"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-11-19","78",,"70"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-11-21","75",,"73"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1980-11-29","80",,"72"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","5.015","6.95","26.5","1981-01-28","67",,
