"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-01-16","80",,"73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-01-18","80",,"77"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-01-20","81","86",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-01-29","81","88","77"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-01-30","81",,"77"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-09","83","91","70"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-13","80","86","73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-14","80","86","75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-15","77","88","73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-16","80",,"73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-17","81","88",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-18","79",,"73"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-19","80","86","77"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-20","81",,"75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-02-29","80","86","75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-03-06","84","90",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-04-02","84","90","77"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-04-04","82","88",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-04-05","81","88","75"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-04-06","82","88",
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-04-21","84","91","79"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-05-06","85","90","77"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-05-07","82",,
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-05-09","83",,"77"
"SL000061856","LUNGI, SL","8.617","-13.2","27.0","1980-05-14","83","90",
