station,latitude,longitude,elevation,Temp_mean_min,Temp_mean_max,Temp_mean_avg,Temp_mean_range
SU000062600,21.82,31.35,190.0,18.154072553045864,33.73620260095833,25.94513757700201,15.582130047912436
SU000062640,19.533,33.317,312.0,20.698164271047208,36.85390280629703,28.77603353867212,16.155738535249817
SU000062641,19.583,37.217,42.0,27.37032443531826,31.012629705681025,29.191477070499698,3.6423052703627707
SU000062650,19.167,30.483,226.0,20.289875427789056,37.042861054072524,28.66636824093091,16.752985626283404
SU000062721,15.6,32.549,380.0,21.72476386036956,37.58137029431892,29.653067077344346,15.856606433949374
SU000062730,15.467,36.4,500.0,22.14092539356603,36.93154688569484,29.536236139630443,14.790621492128675
SU000062752,14.033,35.4,599.0,24.71568788501032,31.08494729637227,27.900317590691223,6.369259411362063
SU000062760,13.617,25.333,733.0,18.97504312114985,35.04842573579742,27.011734428473616,16.073382614647482
SU000062762,13.55,33.617,418.0,23.271258042436752,35.24866392881586,29.259960985626215,11.977405886379172
SU000062770,13.483,22.45,805.0,18.013368925393554,34.38229295003418,26.197830937713892,16.36892402464057
SU000062771,13.167,30.233,574.0,19.89264339493496,35.35058179329228,27.62161259411366,15.457938398357344
SU000062781,12.7,28.433,564.0,20.494960985626236,35.770321697467416,28.132641341546954,15.275360711841216
SU000062790,12.05,24.883,643.0,20.295411362080753,35.45167556468161,27.873543463381267,15.156264202600946
SUM00062660,18.55,31.85,249.0,20.816466803559063,37.03140725530459,28.923937029431894,16.21494045174537
SUM00062680,17.7,33.967,345.0,22.06489527720735,37.89151813826151,29.978206707734454,15.826622861054005
SUM00062733,15.317,35.6,451.0,22.6057919233401,37.28616427104714,29.945978097193773,14.68037234770706
SUM00062750,14.0,32.333,378.0,22.474977412730976,36.798453114305275,29.636715263518226,14.323475701574287
SUM00062751,14.4,33.483,408.0,22.50911293634493,37.00198494182068,29.755548939082797,14.492872005475743
SUM00062772,13.167,32.667,381.0,22.43792607802869,37.05313347022595,29.74552977412729,14.615207392197087
SUM00062795,12.733,34.133,445.0,22.72166461327863,35.981307323750855,29.351485968514663,13.259642710472267
SUM00062803,11.867,31.05,885.0,20.057185489390857,33.94658453114298,27.001885010266992,13.88939904175222
SUM00062805,11.786,34.337,482.2,22.840980150581732,35.53976043805607,29.1903702943189,12.698780287474362
SUM00062809,11.333,27.817,453.0,21.29350718685832,36.18531827515397,28.739412731006073,14.891811088295698
SUM00062810,11.138,29.701,563.3,21.356106776180635,35.40781519507186,28.38196098562627,14.051708418891186
