,Station,lat,lon,Elevation
0,SU000062600,21.82,31.35,190.0
1,SU000062640,19.533,33.317,312.0
2,SU000062641,19.583,37.217,42.0
3,SU000062650,19.167,30.483,226.0
4,SU000062721,15.6,32.549,380.0
5,SU000062730,15.467,36.4,500.0
6,SU000062752,14.033,35.4,599.0
7,SU000062760,13.617,25.333,733.0
8,SU000062762,13.55,33.617,418.0
9,SU000062770,13.483,22.45,805.0
10,SU000062771,13.167,30.233,574.0
11,SU000062781,12.7,28.433,564.0
12,SU000062790,12.05,24.883,643.0
13,SUM00062660,18.55,31.85,249.0
14,SUM00062680,17.7,33.967,345.0
15,SUM00062733,15.317,35.6,451.0
16,SUM00062750,14.0,32.333,378.0
17,SUM00062751,14.4,33.483,408.0
18,SUM00062772,13.167,32.667,381.0
19,SUM00062795,12.733,34.133,445.0
20,SUM00062803,11.867,31.05,885.0
21,SUM00062805,11.786,34.337,482.2
22,SUM00062809,11.333,27.817,453.0
23,SUM00062810,11.138,29.701,563.3
24,AO000066160,-8.85,13.233,74.0
25,AO000066270,-11.417,15.117,1304.0
26,AO000066390,-14.933,13.567,1761.0
27,AO000066410,-14.65,17.683,1343.0
28,AO000066422,-15.2,12.15,45.0
29,AO000066447,-15.833,20.35,1088.0
30,WA012076210,-17.85,19.35,1050.0
31,BN000005306,11.13,2.93,290.0
32,BN000005319,10.32,1.48,460.0
33,BN000005331,8.87,2.6,325.0
34,BN000005335,7.98,2.43,198.0
35,BN000005344,6.35,2.38,4.0
36,BN000065306,11.133,2.933,292.0
37,BN000065335,8.032,2.467,200.0
38,BNM00065330,9.35,2.617,393.0
39,BNM00065338,7.167,2.067,167.0
40,BC000068026,-18.367,21.85,1000.0
41,BC000068032,-19.983,23.417,943.0
42,BC000068226,-24.017,21.883,1100.0
43,BC000068234,-24.6,24.667,1189.0
44,BC000068328,-26.05,22.45,1000.0
45,BC004612080,-26.467,20.617,879.0
46,BC005452830,-25.22,25.67,1192.0
47,BC005836580,-24.97,25.37,1372.0
48,BC005847300,-24.667,25.917,1000.0
49,BC006270240,-24.4,25.52,1110.0
50,BC006282050,-24.42,26.12,945.0
51,BC007034890,-23.15,20.28,1250.0
52,BC007137570,-23.12,25.43,1005.0
53,BC007591160,-22.93,26.57,1163.0
54,BC007602130,-22.55,27.13,908.0
55,BC007916970,-22.12,20.9,1182.0
56,BC008033530,-22.38,26.7,1140.0
57,BC008382520,-21.7,21.65,1100.0
58,BC008948490,-21.217,27.5,1001.0
59,BC012192590,-17.817,25.15,1002.0
60,BCM00068030,-18.533,25.633,1071.0
61,SF006727480,-23.967,26.917,857.0
62,SF007175950,-23.4,27.35,810.0
63,UV000005501,14.03,0.05,288.0
64,UV000005502,13.58,-2.43,340.0
65,UV000005503,12.35,1.52,304.0
66,UV000005507,12.07,0.35,301.0
67,UV000005510,11.67,-4.3,432.0
68,UV000005516,11.73,-2.92,264.0
69,UV000005522,10.33,-3.18,333.0
70,UV000065501,14.033,-0.033,277.0
71,UV000065516,11.75,-2.933,271.0
72,UVM00065503,12.353,-1.512,316.1
73,UVM00065510,11.16,-4.331,460.6
74,UVM00065518,11.15,-1.15,322.0
75,CM000004910,4.02,9.72,13.0
76,CM000064870,7.35,13.567,1104.0
77,CMM00064851,10.451,14.257,424.0
78,CMM00064860,9.336,13.37,242.0
79,CMM00064930,4.6,13.733,668.0
80,CVM00008583,16.883,-25.0,63.0
81,CVM00008589,14.917,-23.6,70.0
82,CVM00008594,16.741,-22.949,53.9
83,CT000004600,4.22,15.78,583.0
84,CT000004601,6.93,15.58,935.0
85,CT000004603,6.5,18.27,458.0
86,CT000004605,5.27,17.63,674.0
87,CT000004610,6.48,17.43,465.0
88,CT000004650,4.38,18.57,381.0
89,CT000004654,8.4,20.65,510.0
